epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.595,1.52805,3.06986,1.23199,0.01353,0.56552,0.08118,0.0374,1.39243,3.25915,1.08832,0.000410156,0.000410156,0.000410156
2,772.45,1.35279,1.90873,1.14607,0.63222,0.45094,0.43965,0.26744,1.37041,1.90487,1.10786,0.000744967,0.000744967,0.000744967
3,1189.13,1.296,1.58998,1.13115,0.76563,0.49687,0.52575,0.31777,1.42837,1.51195,1.1275,0.000997279,0.000997279,0.000997279
4,1620.68,1.25729,1.42123,1.10581,0.81385,0.50403,0.60637,0.38943,1.32814,1.33392,1.10356,0.00087875,0.00087875,0.00087875
5,2050.01,1.2301,1.32169,1.08367,0.63008,0.56377,0.62829,0.39324,1.32046,1.44318,1.0811,0.000755,0.000755,0.000755
6,2474.77,1.2155,1.22112,1.06537,0.57152,0.66865,0.66386,0.41485,1.26406,1.10781,1.06696,0.00063125,0.00063125,0.00063125
7,2893.76,1.17938,1.14171,1.05649,0.74109,0.6153,0.68559,0.43805,1.28039,1.1411,1.07924,0.0005075,0.0005075,0.0005075
8,3322.64,1.16083,1.1047,1.05361,0.6536,0.73062,0.70678,0.44959,1.30755,1.05001,1.07876,0.00038375,0.00038375,0.00038375
9,3745.01,1.14977,1.0322,1.03438,0.73641,0.63919,0.71044,0.45949,1.29796,1.03155,1.07093,0.00026,0.00026,0.00026
10,4170.57,1.12269,1.05789,1.03325,0.69318,0.70236,0.73013,0.46761,1.24528,1.01273,1.04795,0.00013625,0.00013625,0.00013625
